driveruuid,week_date,supply_hours,trip_hours
67708ccc-f79e-4fa4-9e07-bf70ef8f59e8,11/15/2021,75.41666,34.85
7ea0bde7-40e4-4e95-b783-1e2baf776393,11/15/2021,64.66666,27.11666
c34b2754-b2cb-425b-a60d-de89fa45cce3,11/15/2021,73.28333,18.15
34e8476d-0af3-4470-ac87-9889108f6e8f,11/15/2021,60.66666,21.06666
be275976-4a8e-40bf-8213-2c587daf70f1,11/15/2021,68.26666,31.96666
4f6a3fd2-2312-467b-9f34-c53d07e19cf5,11/15/2021,60.63333,27.78333
ef28088d-577c-444a-9198-53d9223ec834,11/22/2021,32.78333,10.31666
71ed57b7-5990-4be1-9e7c-86c2d579dba0,11/22/2021,78.5,39.75
e9bb15c1-dbeb-45e4-b090-0136d3b34404,11/22/2021,35.65,12.31666
067be17a-38d3-4a03-89f6-8755902ded15,11/22/2021,75.28333,40.4
1875f7cb-c20f-4032-8deb-c49d1e6cea2e,11/22/2021,78.45,39.46666
684e978b-efc4-4507-a42b-12f8d5b1d842,11/22/2021,81.66666,51.55
fc566d15-8f50-45e5-b053-dbacc66156b8,11/22/2021,26.51666,5.51666
cf780027-663b-4d09-b52a-96014af1d864,11/22/2021,45.11666,26.75
fc27465a-f75d-4e44-ac84-bd12d2e582d3,11/22/2021,28.45,12.28333
64f548b6-2c66-4147-8968-03edf1b70730,11/22/2021,18.51666,8.91666
6fbd88da-fc22-4f26-b7ea-79e70a7b7f27,11/22/2021,69.23333,40.31666
2ecba62e-b89d-43bd-a5e9-5fb29d7a28f0,11/22/2021,72.05,42.75
1628d416-3002-4cec-8f38-1453b708e531,11/22/2021,70.51666,42.38333
2ec463b6-2ce4-4938-b498-c41c7a7bdc1b,11/22/2021,72.05,27.68333
39c5f6d9-7c79-415c-93d9-0ebfc8e44333,11/22/2021,59.5,33.8
5712a5e8-5ea7-4eb1-adc2-2b20189635ed,11/22/2021,43.93333,20.51666
aa05f6a1-8660-4113-a6c1-9e9bf82093c4,11/22/2021,69.61666,29.81666
1be5bb04-5d57-48a3-84f9-276289d054d2,11/22/2021,41.03333,16.88333
08f7a590-fed1-4df5-9509-b951bce99408,11/22/2021,25.83333,16.05
0d0997c0-e952-46c3-af4d-0a38987ee076,11/22/2021,79.03333,20.85
0cae36d8-3521-4112-bbeb-a937995f220c,11/22/2021,57.06666,36.15
b09c4b8d-7106-49e5-ae37-a6df27cb0860,11/22/2021,39.48333,20.93333
ad704b7b-12c7-4f01-9610-3e6e298f3452,11/22/2021,60.81666,34.96666
64923075-5efb-4956-9b69-3b888ad7678e,11/22/2021,41,16.95
99e0998d-8450-4e08-a69a-91fdbfb2881c,11/22/2021,60.15,25.4
74b9cbf9-0904-41a9-a220-1f66f884ed7c,11/22/2021,65,15.9
37e4b055-d577-4400-8fd1-274f30d71edc,11/22/2021,70.11666,21.05
2381265f-c6b6-4eed-b612-05be3016ce84,11/22/2021,58.46666,35.2
d78e93e4-33a8-4026-9f1e-cf8af8d94331,11/22/2021,29.7,17.28333
7484ab64-c7ba-48a9-8086-220bcf65dc4c,11/22/2021,7.41666,3.98333
f68b9f60-5b50-49d1-9617-a081765fd6ac,11/22/2021,62.75,27.11666
f2c89862-5ac2-46ed-887f-e84b0105d3a4,11/22/2021,64.21666,41.18333
5c22280d-5979-4ca7-99a1-86b5dd3f985c,11/22/2021,87.2,43.1
7043246b-2b90-4673-ba40-920dc13eb064,11/22/2021,67.95,30.58333
fcd39e00-30e7-4893-9a26-907e29d33f22,11/22/2021,60.88333,31.93333
07422c3d-4a75-4e11-b477-e5e71ebccb2b,11/22/2021,41.05,18.18333
2a85ec6d-8a56-46b5-93c4-8b93076a24f7,11/22/2021,69.81666,40.93333
39a93eed-1532-4233-bfcd-a5bb02e1f92c,11/22/2021,14.46666,6.16666
60e24218-a9cd-4344-a79e-ddbc78345e34,11/22/2021,59.16666,27.96666
0abee682-7cb7-4a49-97e0-a112d05f2dac,11/22/2021,11.11666,2.58333
cefa509f-c3db-4a0a-a591-436cda98f832,11/22/2021,60.35,36.36666
ba7e93c8-b2f8-4877-b5a9-3f23a39533e2,11/22/2021,36.01666,22.13333
4e174a23-5fcb-46f7-ad15-1d726129a541,11/22/2021,49.31666,27.95
ae661bd4-2b78-4ff4-ae05-4e4f7deac1a5,11/22/2021,43.93333,17.7
e351c89a-c080-4e55-a68f-967d30651a76,11/22/2021,47.33333,16.06666
7894e94d-6a17-4814-8064-c5e779834dca,11/22/2021,32.26666,6.98333
a20cd138-ffad-455d-a834-a6344531b3dc,11/22/2021,62.3,18.16666
405d3aa0-9a4f-4078-9897-1aeb99a83d76,11/22/2021,60.51666,18.08333
208e8401-5bae-45ec-aa3d-4f27c9d708af,11/22/2021,60.81666,18.03333
622b18b7-3b97-43fa-adbd-1fc73ed9573e,11/22/2021,43.2,16.86666
071ca342-a7f2-4ce9-84bc-11ee161d5705,11/22/2021,65.03333,29.1
62f06879-9a1a-435b-a915-c1dd2c5ebfd5,11/22/2021,68.26666,27.46666
64b1af9b-1e55-470d-85db-341ad457c1c9,11/22/2021,61.95,21.88333
dd8bb6bd-e554-4aba-8b43-c80b1a54ba75,11/22/2021,60.35,21.65
a98816f6-2b91-4712-88f8-6a59f1fcb8f7,11/22/2021,60.3,31.28333
2f39e80c-1d86-4bd3-a9ac-ea21e1f35dbc,11/22/2021,70.81666,24.85
c0f9c90a-44fa-4249-a8a3-7629576c1d0e,11/22/2021,66.16666,28.86666
d1326348-cea6-4e6b-bf82-b536959797ad,11/22/2021,63.55,34.73333
801589ab-55c1-48e4-962d-2e6478d895a3,11/22/2021,62.36666,12.91666
3e54b77a-edb6-4ef5-bc18-3a777cdc4159,11/22/2021,75.4,26.23333
67708ccc-f79e-4fa4-9e07-bf70ef8f59e8,11/22/2021,78.96666,40.78333
1c91b39f-dd34-4a88-90a2-88c75dd4c286,11/22/2021,73.85,43.3
f9488aad-3b63-48bb-b65a-6f821ffd7fb6,11/22/2021,40.68333,17.78333
0bd4c66a-edb4-4b46-b789-903fec02357b,11/22/2021,67.21666,26.16666
dd4c536a-7a0f-47d8-a2cd-8bac1938af4a,11/22/2021,68.45,40.28333
52fb4a5c-dd17-44af-b100-6e184f842f00,11/22/2021,82.6,46.76666
77e1eae2-e66e-4aaa-8fc5-6f0c0b02489e,11/22/2021,69.86666,24.53333
0c219f52-1435-4b21-994a-6a3bd25d974e,11/22/2021,67.21666,13.31666
34e8476d-0af3-4470-ac87-9889108f6e8f,11/22/2021,70.06666,39.35
33e193cf-2ae5-4763-a586-7d90d15746ca,11/22/2021,60.61666,30.31666
be275976-4a8e-40bf-8213-2c587daf70f1,11/22/2021,31.21666,15.25
c4328d0c-7df6-458b-9ee3-c355a0489473,11/22/2021,72.31666,35.55
603bd454-a283-4860-b661-4e3ef464b0d2,11/22/2021,49.61666,25.85
0d75521b-a24f-4c4e-be7b-df0bb30a9dff,11/22/2021,39.11666,16.75
be042639-a971-4776-95f4-fc9f30037c10,11/22/2021,64.05,37.43333
7cf1aede-04ed-4eb1-9f71-ba1fd95b5dfd,11/22/2021,11.48333,5
4ecf9a1e-c057-42ad-ba2f-7c7a4899b97f,11/22/2021,56.13333,15.65
2285677b-2537-479b-8a59-c28382950172,11/22/2021,73.26666,27.48333
b3a10083-8fb4-4c47-8bf7-b3a4404cbcdd,11/22/2021,85.9,47.65
