driveruuid,week_date,Acceptance rate,Cancellation rate
4e7ce887-6332-4c87-883b-2704ca6279ee,11/15/2021,0.19,0.01
7cf1aede-04ed-4eb1-9f71-ba1fd95b5dfd,11/15/2021,0.78,0.29
e989d85d-3796-4958-97d5-a5e1bbbf5b4e,11/15/2021,0.56,0.08
8b4a852b-a20e-4c9a-95cd-fe4a532033a1,11/15/2021,0.69,0.1
f9488aad-3b63-48bb-b65a-6f821ffd7fb6,11/15/2021,0.63,0.15
27b43006-eaa1-4cab-9d4d-7d964ff20c01,11/15/2021,0.54,0.01
be275976-4a8e-40bf-8213-2c587daf70f1,11/15/2021,0.54,0.18
18306656-762e-484f-8fb9-f363082beee5,11/15/2021,0.73,0.12
c311ff34-354f-4d84-9f1d-e1c3001f3de4,11/15/2021,0.39,0.04
64f548b6-2c66-4147-8968-03edf1b70730,11/15/2021,0.62,0.13
795d9d2a-a0fc-414d-b619-f17396891511,11/15/2021,0.6,0.1
1922032d-26ad-469d-8747-75dc05d5c491,11/15/2021,0.3,0
77c481f3-ee2e-4b2f-ac12-ec2097f1abb5,11/15/2021,0.47,0.08
be042639-a971-4776-95f4-fc9f30037c10,11/15/2021,0.79,0.07
c2f9941e-737e-428b-b2a1-ea034759bb0f,11/15/2021,0.66,0.04
62588413-4dad-4b90-93e4-819f63bdae67,11/15/2021,0.8,0.09
64923075-5efb-4956-9b69-3b888ad7678e,11/15/2021,0.66,0.12
74b9cbf9-0904-41a9-a220-1f66f884ed7c,11/15/2021,0.83,0.32
1628d416-3002-4cec-8f38-1453b708e531,11/15/2021,0.78,0.03
39a93eed-1532-4233-bfcd-a5bb02e1f92c,11/15/2021,0.87,0.13
aa0c2e75-7b43-49a2-9249-b931436539b2,11/15/2021,0.42,0.14
ba7e93c8-b2f8-4877-b5a9-3f23a39533e2,11/15/2021,0.59,0.1
f635fe03-ca19-46c2-be6a-e7d0ed94ba26,11/15/2021,0.43,0.13
ecf58a3a-6150-4f48-9e24-185c02b00c0f,11/15/2021,0.62,0.12
40674bfb-a06f-4658-8834-73d566ed96f1,11/15/2021,0.95,0.08
d78e93e4-33a8-4026-9f1e-cf8af8d94331,11/15/2021,0.7,0.06
dd8bb6bd-e554-4aba-8b43-c80b1a54ba75,11/15/2021,0.76,0.18
2f39e80c-1d86-4bd3-a9ac-ea21e1f35dbc,11/15/2021,0.81,0.08
4378e378-898e-43fd-a1c8-0f22d59621e8,11/15/2021,0.42,0.06
cefa509f-c3db-4a0a-a591-436cda98f832,11/15/2021,0.94,0.02
0bd4c66a-edb4-4b46-b789-903fec02357b,11/15/2021,0.46,0.05
391efe5a-fabf-43bd-a5e7-6f7ace587bd2,11/15/2021,0.69,0.16
33e193cf-2ae5-4763-a586-7d90d15746ca,11/15/2021,0.59,0.03
38892d97-929e-419b-8e77-28ead1e48ba9,11/15/2021,0.73,0.09
d0233aeb-ef6b-4576-a686-6d268a3e1edf,11/15/2021,0.64,0.07
03e58d6e-0265-4b6f-9b81-2f272a8b2169,11/15/2021,0.79,0.16
230c214d-5f88-44dc-92b6-f9622ef1bce4,11/15/2021,0.56,0.04
dd4c536a-7a0f-47d8-a2cd-8bac1938af4a,11/15/2021,0.51,0.08
7951e2bb-05d4-468b-a745-4b4f87e548b3,11/15/2021,0.74,0.05
b5d818d9-f75f-48d5-8bb2-092e8ced6624,11/15/2021,0.9,0.1
05b21f09-82bd-4700-b129-2924d9caa0c8,11/15/2021,0.77,0.1
684e978b-efc4-4507-a42b-12f8d5b1d842,11/15/2021,0.84,0.09
a4812789-4bcb-43fb-ae12-36d5830c721a,11/15/2021,0.54,0.03
cf780027-663b-4d09-b52a-96014af1d864,11/15/2021,0.46,0.03
cefc3776-aaf8-4ab9-ac7c-aff0753fbf38,11/15/2021,0.84,0.09
4ecf9a1e-c057-42ad-ba2f-7c7a4899b97f,11/15/2021,0.63,0.07
7484ab64-c7ba-48a9-8086-220bcf65dc4c,11/15/2021,0.33,0.04
64d16747-31a1-4ba2-9e92-0107b7d6bdcd,11/15/2021,0.49,0.06
a1446a7d-2373-4286-b148-572dbc29cc4b,11/15/2021,0.84,0.03
39c5f6d9-7c79-415c-93d9-0ebfc8e44333,11/15/2021,0.71,0.04
07422c3d-4a75-4e11-b477-e5e71ebccb2b,11/15/2021,0.86,0.04
0abee682-7cb7-4a49-97e0-a112d05f2dac,11/15/2021,0.72,0.19
07e356ec-3be2-48f4-8bd7-443259321469,11/15/2021,0.23,0.04
828ab3a8-b5b4-4465-90d9-f1c1eaa4b08b,11/15/2021,0.53,0.13
cc955133-9e3a-4959-bc22-4eebe4236412,11/15/2021,0.83,0.07
7894e94d-6a17-4814-8064-c5e779834dca,11/15/2021,0.55,0.08
ab0c2d68-737b-4b39-a2bd-a57068184096,11/15/2021,0.79,0.09
0cae36d8-3521-4112-bbeb-a937995f220c,11/15/2021,0.48,0.04
fdf020a0-2255-45a3-bf8f-690790aa779a,11/15/2021,0.6,0.03
1116832d-4532-4ec2-993a-44f35c678991,11/15/2021,0.5,0.07
7ecefda1-38e8-4dfc-bd0b-26086d109c85,11/15/2021,0.69,0.09
7e574e04-e42e-4b40-b9bc-e4fc99f92822,11/15/2021,0.52,0.03
1c91b39f-dd34-4a88-90a2-88c75dd4c286,11/15/2021,0.7,0.08
52fb4a5c-dd17-44af-b100-6e184f842f00,11/15/2021,0.71,0.06
8b58fe38-1968-41e3-ae48-581e0bf98a2b,11/15/2021,0.54,0.04
10374e3b-1a64-4f83-86f6-56a0707cfb4d,11/15/2021,0.62,0.1
801589ab-55c1-48e4-962d-2e6478d895a3,11/15/2021,0.57,0.05
c34b2754-b2cb-425b-a60d-de89fa45cce3,11/15/2021,0.41,0.02
7ea0bde7-40e4-4e95-b783-1e2baf776393,11/15/2021,0.72,0.12
92679160-f742-4424-a6df-b6424ee49c81,11/15/2021,0.66,0.08
4f6a3fd2-2312-467b-9f34-c53d07e19cf5,11/15/2021,0.86,0.09
99e0998d-8450-4e08-a69a-91fdbfb2881c,11/22/2021,0.51,0.04
405d3aa0-9a4f-4078-9897-1aeb99a83d76,11/22/2021,0.51,0.03
